Mått;År;Region;Diagnos;Kön;Ålder;Värde
False;1999;24;4;3;4;22
False;1999;25;4;3;4;39
False;1999;0;2;3;1;4
False;1999;0;2;3;2;126
False;1999;0;2;3;3;320
False;1999;0;2;3;4;10358
False;1999;1;2;3;2;21
False;1999;1;2;3;3;79
False;1999;1;2;3;4;1982
False;1999;3;2;3;2;5
False;1999;3;2;3;3;8
False;1999;3;2;3;4;259
False;1999;4;2;3;2;3
False;1999;4;2;3;3;7
False;1999;4;2;3;4;286
False;1999;5;2;3;2;3
False;1999;5;2;3;3;12
False;1999;5;2;3;4;407
False;1999;6;2;3;2;9
False;1999;6;2;3;3;8
False;1999;6;2;3;4;227
False;1999;7;2;3;2;1
False;1999;7;2;3;3;5
False;1999;7;2;3;4;118
False;1999;8;2;3;2;3
False;1999;8;2;3;3;6
False;1999;8;2;3;4;168
False;1999;9;2;3;2;1
False;1999;9;2;3;3;4
False;1999;9;2;3;4;731
False;1999;10;2;3;2;1
False;1999;10;2;3;3;9
False;1999;10;2;3;4;154
False;1999;12;2;3;2;14
False;1999;12;2;3;3;42
False;1999;12;2;3;4;1396
False;1999;13;2;3;2;3
False;1999;13;2;3;3;9
False;1999;13;2;3;4;272
False;1999;14;2;3;1;1
False;1999;14;2;3;2;23
False;1999;14;2;3;3;53
False;1999;14;2;3;4;1885
False;1999;17;2;3;2;6
False;1999;17;2;3;3;8
False;1999;17;2;3;4;280
False;1999;18;2;3;2;3
False;1999;18;2;3;3;9
False;1999;18;2;3;4;320
False;1999;19;2;3;2;4
False;1999;19;2;3;3;9
False;1999;19;2;3;4;171
False;1999;20;2;3;2;4
False;1999;20;2;3;3;8
False;1999;20;2;3;4;186
False;1999;21;2;3;2;2
False;1999;21;2;3;3;11
False;1999;21;2;3;4;670
False;1999;22;2;3;1;1
False;1999;22;2;3;2;7
False;1999;22;2;3;3;8
False;1999;22;2;3;4;384
False;1999;23;2;3;2;4
False;1999;23;2;3;3;7
False;1999;23;2;3;4;106
False;1999;24;2;3;2;3
False;1999;24;2;3;3;5
False;1999;24;2;3;4;494
False;1999;25;2;3;1;1
False;1999;25;2;3;2;6
False;1999;25;2;3;3;13
False;1999;25;2;3;4;374
False;1999;0;3;3;1;3
False;1999;0;3;3;2;12
False;1999;0;3;3;3;36
False;1999;0;3;3;4;165
False;1999;1;3;3;1;2
False;1999;1;3;3;2;1
False;1999;1;3;3;3;8
False;1999;1;3;3;4;31
False;1999;4;3;3;2;1
False;1999;4;3;3;3;2
False;1999;4;3;3;4;3
False;1999;5;3;3;3;4
False;1999;5;3;3;4;14
False;1999;6;3;3;2;2
False;1999;6;3;3;3;2
False;1999;6;3;3;4;6
False;1999;8;3;3;3;1
False;1999;8;3;3;4;9
False;1999;9;3;3;3;2
False;1999;9;3;3;4;2
False;1999;12;3;3;2;3
False;1999;12;3;3;3;8
False;1999;12;3;3;4;24
False;1999;13;3;3;4;38
False;1999;14;3;3;2;1
False;1999;14;3;3;3;3
False;1999;14;3;3;4;18
False;1999;17;3;3;3;2
False;1999;17;3;3;4;4
False;1999;18;3;3;2;1
False;1999;18;3;3;4;4
False;1999;19;3;3;4;11
False;1999;20;3;3;3;1
False;1999;20;3;3;4;3
False;1999;21;3;3;3;1
False;1999;21;3;3;4;3
False;1999;22;3;3;2;1
False;1999;22;3;3;4;5
False;1999;23;3;3;3;1
False;1999;23;3;3;4;1
False;1999;24;3;3;1;1
False;1999;24;3;3;2;1
False;1999;24;3;3;4;10
False;1999;25;3;3;2;1
False;1999;25;3;3;3;1
False;1999;25;3;3;4;4
False;2000;22;1;3;2;2
False;2000;12;2;3;1;1
False;2000;5;1;3;2;4
False;2000;3;1;3;2;7
False;2000;4;1;3;2;6
False;2000;6;1;3;3;19
False;2000;8;1;3;2;5
False;2000;18;1;3;2;5
False;2000;21;1;3;2;3
False;2000;23;1;3;2;1
False;2000;6;1;3;2;7
False;2000;9;1;3;2;1
False;2000;10;1;3;3;9
False;2000;25;1;3;3;13
False;2000;20;1;3;3;15
False;2000;22;1;3;3;8
False;2000;17;1;3;3;15
False;2000;3;1;3;1;13
False;2000;5;1;3;1;14
False;2000;5;1;3;3;25
False;2000;7;1;3;1;5
False;2000;9;1;3;1;5
False;2000;10;1;3;1;4
False;2000;17;1;3;1;10
False;2000;17;1;3;2;4
False;2000;18;1;3;3;13
False;2000;20;1;3;2;4
False;2000;21;1;3;3;9
False;2000;23;1;3;3;10
False;2000;0;1;3;1;439
False;2000;0;1;3;2;129
False;2000;0;1;3;3;522
False;2000;0;1;3;4;167620
False;2000;1;1;3;1;106
False;2000;1;1;3;2;26
False;2000;1;1;3;3;117
False;2000;1;1;3;4;25767
False;2000;3;1;3;3;15
False;2000;3;1;3;4;8887
False;2000;4;1;3;1;11
False;2000;4;1;3;3;17
False;2000;4;1;3;4;5242
False;2000;5;1;3;4;8208
False;2000;6;1;3;1;20
False;2000;6;1;3;4;6176
False;2000;7;1;3;2;2
False;2000;7;1;3;3;12
False;2000;7;1;3;4;4191
False;2000;8;1;3;1;16
False;2000;8;1;3;3;14
False;2000;8;1;3;4;3890
False;2000;9;1;3;3;2
False;2000;9;1;3;4;819
False;2000;10;1;3;4;7403
False;2000;12;1;3;1;44
False;2000;12;1;3;2;11
False;2000;12;1;3;3;79
False;2000;12;1;3;4;21187
False;2000;13;1;3;1;13
False;2000;13;1;3;2;5
False;2000;13;1;3;3;18
False;2000;13;1;3;4;9868
